gender,birthyear,Province,news_canada_1,news_canada_2,news_canada_3,news_canada_4,news_canada_6,news_canada_7,news_canada_8,news_canada_9,news_canada_10,news_canada_11,news_canada_12,news_canada_13,news_canada_14,news_canada_15,news_canada_16,news_canada_17,news_canada_18,news_canada_19,news_canada_20,news_canada_21,news_canada_22,news_canada_23,news_canada_24,news_canada_25,news_canada_26,news_canada_27,news_canada_28,news_canada_29,news_trust_1,news_trust_2,news_trust_3,news_trust_4,news_trust_5,news_trust_6,news_trust_7,news_trust_8,news_trust_9,news_trust_10,news_trust_11,news_trust_12,news_trust_13,news_trust_14,news_trust_15,news_trust_16,news_trust_17,news_trust_18,news_trust_19,news_trust_20,news_trust_21,news_trust_22,news_trust_23,news_trust_24,news_trust_25,news_trust_26,news_trust_27,news_trust_28,Q118_1,Q118_2,Q118_3,Q118_4,Q118_5,Q118_6,Q118_7,Q118_8,Q118_9,Q118_10,Q118_11,Q118_12,Q118_13,Q118_14,Q118_15,Q118_16,Q118_17,Q118_18,Q118_19,Q118_20,Q118_21,Q118_22,Q118_23,Q118_24,Q118_25,Q118_26,Q118_27,Q118_28,whenready_1,whenready_2,whenready_3,whenready_4,whenready_5,whenready_6,whenready_7,whenready_8,whenready_9,whenready_10,Q113,Q92,Q90,Q108,Q108_7_TEXT,Q104,Q104_19_TEXT,Q104_20_TEXT,Q88,Q98,Q96_1,Q96_4,Q96_5,Q96_6,Q96_7,Q96_8,Q96_9,Q96_10,Q96_11,Q96_12,Q96_13,Q96_14,Q96_15,Q96_16,Q96_17,Q96_17_TEXT,Q100,Q100_6_TEXT,Q117.1,Q102,Q110,Q112
What is your gender?,Please enter the year you were born:,Province,Which of the following sources of information do you know? - CTV News,Which of the following sources of information do you know? - The CBC,Which of the following sources of information do you know? - The Hill Times,Which of the following sources of information do you know? - MacLeans,Which of the following sources of information do you know? - The Canadian Public Affairs Channel,Which of the following sources of information do you know? - The Globe and Mail ,Which of the following sources of information do you know? - The National Post,Which of the following sources of information do you know? - Toronto Star,Which of the following sources of information do you know? - The Calgary Herald,Which of the following sources of information do you know? - The Vancouver Sun,Which of the following sources of information do you know? - The Province,Which of the following sources of information do you know? - The Leader Post,Which of the following sources of information do you know? - The Winnipeg Free Press,Which of the following sources of information do you know? - The Yukon News,Which of the following sources of information do you know? - Evening Telegram,Which of the following sources of information do you know? - The Daily Gleaner,Which of the following sources of information do you know? - The Halifax Herald,Which of the following sources of information do you know? - La Presse,Which of the following sources of information do you know? - Le Devoir,Which of the following sources of information do you know? - Le Journal de Montreal / Le Journal de Quabec,Which of the following sources of information do you know? - CNN,Which of the following sources of information do you know? - Fox News,Which of the following sources of information do you know? - The New York Times,Which of the following sources of information do you know? - The Guardian,Which of the following sources of information do you know? - The Economist,Which of the following sources of information do you know? - The Wall Street Journal,Which of the following sources of information do you know? - The Huffington Post,Which of the following sources of information do you know? - None,"Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - CTV News","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The CBC","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The Hill Times","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - MacLeans","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The Canadian Public Affairs Channel","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The Globe and Mail","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The National Post","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - Toronto Star","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The Calgary Herald","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The Vancouver Sun","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The Province","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The Leader Post","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The Winnipeg Free Press","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The Yukon News","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - Evening Telegram","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The Daily Gleaner","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The Halifax Herald","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - La Presse","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - Le Devoir","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - Le Journal de Montreal / Le Journal de Quabec","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - CNN","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - Fox News","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The New York Times","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The Guardian","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The Economist","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The Wall Street Journal","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - The Huffington Post","Do you trust each of the following sources for their integrity of reporting  social, political, and other current news as fairly and accurately as possible? - None",Where do the following sources fall for you on the political spectrum? - CTV News,Where do the following sources fall for you on the political spectrum? - The CBC,Where do the following sources fall for you on the political spectrum? - The Hill Times,Where do the following sources fall for you on the political spectrum? - MacLeans,Where do the following sources fall for you on the political spectrum? - The Canadian Public Affairs Channel,Where do the following sources fall for you on the political spectrum? - The Globe and Mail,Where do the following sources fall for you on the political spectrum? - The National Post,Where do the following sources fall for you on the political spectrum? - Toronto Star,Where do the following sources fall for you on the political spectrum? - The Calgary Herald,Where do the following sources fall for you on the political spectrum? - The Vancouver Sun,Where do the following sources fall for you on the political spectrum? - The Province,Where do the following sources fall for you on the political spectrum? - The Leader Post,Where do the following sources fall for you on the political spectrum? - The Winnipeg Free Press,Where do the following sources fall for you on the political spectrum? - The Yukon News,Where do the following sources fall for you on the political spectrum? - Evening Telegram,Where do the following sources fall for you on the political spectrum? - The Daily Gleaner,Where do the following sources fall for you on the political spectrum? - The Halifax Herald,Where do the following sources fall for you on the political spectrum? - La Presse,Where do the following sources fall for you on the political spectrum? - Le Devoir,Where do the following sources fall for you on the political spectrum? - Le Journal de Montreal / Le Journal de Quabec,Where do the following sources fall for you on the political spectrum? - CNN,Where do the following sources fall for you on the political spectrum? - Fox News,Where do the following sources fall for you on the political spectrum? - The New York Times,Where do the following sources fall for you on the political spectrum? - The Guardian,Where do the following sources fall for you on the political spectrum? - The Economist,Where do the following sources fall for you on the political spectrum? - The Wall Street Journal,Where do the following sources fall for you on the political spectrum? - The Huffington Post,Where do the following sources fall for you on the political spectrum? - None,When will you be ready to do the following? - Travel domestically by plane for business or essential purposes,When will you be ready to do the following? - Travel internationally by plane for business or essential purposes,When will you be ready to do the following? - Travel domestically by plane for leisure,When will you be ready to do the following? - Travel internationally by plane for leisure,When will you be ready to do the following? - Go shopping in-person at stores or malls,When will you be ready to do the following? - Return to the workplace,When will you be ready to do the following? - Go eat in restaurants,"When will you be ready to do the following? - Go to bars, clubs, or crowded spaces",When will you be ready to do the following? - Attend large public events like a festival or outdoor gathering,When will you be ready to do the following? - Take public transit,Which of the following social classes do you feel best represents you ?,What is the highest level of education you have completed?,What is your annual household income before taxes? Is it…,What is your employment status? - Selected Choice,What is your employment status? - Other - Text,Which of the following categories best describes your employment field? - Selected Choice,"Which of the following categories best describes your employment field? - Trade-work, please specify: - Text","Which of the following categories best describes your employment field? - Other, please specify: - Text",Do you have any children under the age of 18 living at home?,Were you born in Canada or in another country?,"In addition to being Canadian, what is your main ancestry or ethnic group, that is, from which global region did you or your ancestors come from? - Selected Choice - North America, i.e. First Nations, Inuit, Métis","In addition to being Canadian, what is your main ancestry or ethnic group, that is, from which global region did you or your ancestors come from? - Selected Choice - Europe","In addition to being Canadian, what is your main ancestry or ethnic group, that is, from which global region did you or your ancestors come from? - Selected Choice - Latin, Central and South American","In addition to being Canadian, what is your main ancestry or ethnic group, that is, from which global region did you or your ancestors come from? - Selected Choice - African ","In addition to being Canadian, what is your main ancestry or ethnic group, that is, from which global region did you or your ancestors come from? - Selected Choice - Caribbean ","In addition to being Canadian, what is your main ancestry or ethnic group, that is, from which global region did you or your ancestors come from? - Selected Choice - West Central Asia and Middle East","In addition to being Canadian, what is your main ancestry or ethnic group, that is, from which global region did you or your ancestors come from? - Selected Choice - East and Southeast Asia","In addition to being Canadian, what is your main ancestry or ethnic group, that is, from which global region did you or your ancestors come from? - Selected Choice - Chinese","In addition to being Canadian, what is your main ancestry or ethnic group, that is, from which global region did you or your ancestors come from? - Selected Choice - Filipino","In addition to being Canadian, what is your main ancestry or ethnic group, that is, from which global region did you or your ancestors come from? - Selected Choice - Other East and Southeast Asia","In addition to being Canadian, what is your main ancestry or ethnic group, that is, from which global region did you or your ancestors come from? - Selected Choice - South Asia","In addition to being Canadian, what is your main ancestry or ethnic group, that is, from which global region did you or your ancestors come from? - Selected Choice - Oceania","In addition to being Canadian, what is your main ancestry or ethnic group, that is, from which global region did you or your ancestors come from? - Selected Choice - Pacific Islands","In addition to being Canadian, what is your main ancestry or ethnic group, that is, from which global region did you or your ancestors come from? - Selected Choice - I don't know","In addition to being Canadian, what is your main ancestry or ethnic group, that is, from which global region did you or your ancestors come from? - Selected Choice - Other:","In addition to being Canadian, what is your main ancestry or ethnic group, that is, from which global region did you or your ancestors come from? - Other: - Text",What is your mother tongue? - Selected Choice,What is your mother tongue? - Other: - Text,What best describes your financial situation?,What is your civil status?,"Who did you vote for in the last federal election? If you cannot remember or did not vote, please indicate so.",Who did you vote for in the 2018 Ontario general election?
"{""ImportId"":""QID4""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""Province""}","{""ImportId"":""QID67"",""choiceId"":""1""}","{""ImportId"":""QID67"",""choiceId"":""2""}","{""ImportId"":""QID67"",""choiceId"":""3""}","{""ImportId"":""QID67"",""choiceId"":""4""}","{""ImportId"":""QID67"",""choiceId"":""6""}","{""ImportId"":""QID67"",""choiceId"":""7""}","{""ImportId"":""QID67"",""choiceId"":""8""}","{""ImportId"":""QID67"",""choiceId"":""9""}","{""ImportId"":""QID67"",""choiceId"":""10""}","{""ImportId"":""QID67"",""choiceId"":""11""}","{""ImportId"":""QID67"",""choiceId"":""12""}","{""ImportId"":""QID67"",""choiceId"":""13""}","{""ImportId"":""QID67"",""choiceId"":""14""}","{""ImportId"":""QID67"",""choiceId"":""15""}","{""ImportId"":""QID67"",""choiceId"":""16""}","{""ImportId"":""QID67"",""choiceId"":""17""}","{""ImportId"":""QID67"",""choiceId"":""18""}","{""ImportId"":""QID67"",""choiceId"":""19""}","{""ImportId"":""QID67"",""choiceId"":""20""}","{""ImportId"":""QID67"",""choiceId"":""21""}","{""ImportId"":""QID67"",""choiceId"":""22""}","{""ImportId"":""QID67"",""choiceId"":""23""}","{""ImportId"":""QID67"",""choiceId"":""24""}","{""ImportId"":""QID67"",""choiceId"":""25""}","{""ImportId"":""QID67"",""choiceId"":""26""}","{""ImportId"":""QID67"",""choiceId"":""27""}","{""ImportId"":""QID67"",""choiceId"":""28""}","{""ImportId"":""QID67"",""choiceId"":""29""}","{""ImportId"":""QID69_x1""}","{""ImportId"":""QID69_x2""}","{""ImportId"":""QID69_x3""}","{""ImportId"":""QID69_x4""}","{""ImportId"":""QID69_x6""}","{""ImportId"":""QID69_x7""}","{""ImportId"":""QID69_x8""}","{""ImportId"":""QID69_x9""}","{""ImportId"":""QID69_x10""}","{""ImportId"":""QID69_x11""}","{""ImportId"":""QID69_x12""}","{""ImportId"":""QID69_x13""}","{""ImportId"":""QID69_x14""}","{""ImportId"":""QID69_x15""}","{""ImportId"":""QID69_x16""}","{""ImportId"":""QID69_x17""}","{""ImportId"":""QID69_x18""}","{""ImportId"":""QID69_x19""}","{""ImportId"":""QID69_x20""}","{""ImportId"":""QID69_x21""}","{""ImportId"":""QID69_x22""}","{""ImportId"":""QID69_x23""}","{""ImportId"":""QID69_x24""}","{""ImportId"":""QID69_x25""}","{""ImportId"":""QID69_x26""}","{""ImportId"":""QID69_x27""}","{""ImportId"":""QID69_x28""}","{""ImportId"":""QID69_x29""}","{""ImportId"":""QID193_x1""}","{""ImportId"":""QID193_x2""}","{""ImportId"":""QID193_x3""}","{""ImportId"":""QID193_x4""}","{""ImportId"":""QID193_x6""}","{""ImportId"":""QID193_x7""}","{""ImportId"":""QID193_x8""}","{""ImportId"":""QID193_x9""}","{""ImportId"":""QID193_x10""}","{""ImportId"":""QID193_x11""}","{""ImportId"":""QID193_x12""}","{""ImportId"":""QID193_x13""}","{""ImportId"":""QID193_x14""}","{""ImportId"":""QID193_x15""}","{""ImportId"":""QID193_x16""}","{""ImportId"":""QID193_x17""}","{""ImportId"":""QID193_x18""}","{""ImportId"":""QID193_x19""}","{""ImportId"":""QID193_x20""}","{""ImportId"":""QID193_x21""}","{""ImportId"":""QID193_x22""}","{""ImportId"":""QID193_x23""}","{""ImportId"":""QID193_x24""}","{""ImportId"":""QID193_x25""}","{""ImportId"":""QID193_x26""}","{""ImportId"":""QID193_x27""}","{""ImportId"":""QID193_x28""}","{""ImportId"":""QID193_x29""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID53_2""}","{""ImportId"":""QID53_3""}","{""ImportId"":""QID53_4""}","{""ImportId"":""QID53_5""}","{""ImportId"":""QID53_6""}","{""ImportId"":""QID53_7""}","{""ImportId"":""QID53_8""}","{""ImportId"":""QID53_9""}","{""ImportId"":""QID53_10""}","{""ImportId"":""QID123""}","{""ImportId"":""QID112""}","{""ImportId"":""QID111""}","{""ImportId"":""QID120""}","{""ImportId"":""QID120_7_TEXT""}","{""ImportId"":""QID118""}","{""ImportId"":""QID118_19_TEXT""}","{""ImportId"":""QID118_20_TEXT""}","{""ImportId"":""QID110""}","{""ImportId"":""QID115""}","{""ImportId"":""QID114"",""choiceId"":""1""}","{""ImportId"":""QID114"",""choiceId"":""4""}","{""ImportId"":""QID114"",""choiceId"":""5""}","{""ImportId"":""QID114"",""choiceId"":""6""}","{""ImportId"":""QID114"",""choiceId"":""7""}","{""ImportId"":""QID114"",""choiceId"":""8""}","{""ImportId"":""QID114"",""choiceId"":""9""}","{""ImportId"":""QID114"",""choiceId"":""10""}","{""ImportId"":""QID114"",""choiceId"":""11""}","{""ImportId"":""QID114"",""choiceId"":""12""}","{""ImportId"":""QID114"",""choiceId"":""13""}","{""ImportId"":""QID114"",""choiceId"":""14""}","{""ImportId"":""QID114"",""choiceId"":""15""}","{""ImportId"":""QID114"",""choiceId"":""16""}","{""ImportId"":""QID114"",""choiceId"":""17""}","{""ImportId"":""QID114_17_TEXT""}","{""ImportId"":""QID116""}","{""ImportId"":""QID116_6_TEXT""}","{""ImportId"":""QID126""}","{""ImportId"":""QID117""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}"
Male,1986,Ontario,,,0,,0,,0,Toronto Star,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left-leaning,,,,,,,,,,,,,,,,,,,,,"		In more than 6 months","		When a vaccine will be ready or the virus will have disappeared","		In more than 6 months","		When a vaccine will be ready or the virus will have disappeared",I am already ready or doing it ,"		In 3-6 months",I am already ready or doing it ,I am already ready or doing it ,"		In more than 6 months",I am already ready or doing it ,Middle class,"University certificate, diploma or degree above bachelor level","$100,000 to $150,000",Employed full-time,-99,Computers & Technology,-99,-99,Yes,Canada,0,0,0,0,0,0,0,0,0,0,South Asia,0,0,0,0,-99,English,-99,Getting ahead with some savings,Married,Liberal Party led by Justin Trudeau ,The Progressive Conservative Party led by Doug Ford
Male,1978,Ontario,,,0,0,0,,,0,,,,,,,,,,,,,,,,0,,The Wall Street Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left-leaning,,,"		In 1-3 months","		In more than 6 months","		In more than 6 months","		In 3-6 months","		In 3-6 months","		In more than 6 months","		In 3-6 months","		In more than 6 months","		In 3-6 months","		In 3-6 months",Lower middle class,"College, CEGEP or other non-university certificate or diploma","$75,000 to $100,000",Employed full-time,-99,Healthcare,-99,-99,No,Another country,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Just getting by,Common-law,Conservative Party led by Andrew Scheer,The Progressive Conservative Party led by Doug Ford
Female,1999,Ontario,CTV News,,,MacLeans,,,0,Toronto Star,,,,,,,,,,,,,,,The New York Times,,0,,,,No,,,No,,,,No,,,,,,,,,,,,,,,No,,,,,,Left-leaning,,,Right-leaning,,,,Right-leaning,,,,,,,,,,,,,,,-99,,,,,,"		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		When a vaccine will be ready or the virus will have disappeared","		I don't foresee a time when I will be ready to do it again","		When a vaccine will be ready or the virus will have disappeared",I am already ready or doing it ,"		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared",I am already ready or doing it ,Lower middle class,Bachelor’s degree,"$50,000 to $75,000",Employed part-time,-99,Hospitality/Service industry,-99,-99,No,Canada,0,0,0,0,0,West Central Asia and Middle East,0,0,0,0,0,0,0,0,0,-99,English,-99,Getting ahead with some savings,Single,NDP led by Jagmeet Singh,I did not vote
Male,1983,BC,0,0,,,0,,The National Post,,,The Vancouver Sun,The Province,,,,,,,,,,,,,,,The Wall Street Journal,The Huffington Post,,,,,,,,Not sure,,,Not sure,Not sure,,,,,,,,,,,,,,,Not sure,Not sure,,,,,,,,None/Impartial,,,None/Impartial,None/Impartial,,,,,,,,,,,,,,,None/Impartial,None/Impartial,,"		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again",Lower middle class,Bachelor’s degree,"$75,000 to $100,000",Employed full-time,-99,Computers & Technology,-99,-99,Yes,Canada,0,0,0,0,0,0,0,Chinese,0,0,0,0,0,0,0,-99,English,-99,Getting ahead with some savings,Divorced,I don't remember,
Male,1986,Alberta,CTV News,The CBC,,MacLeans,,The Globe and Mail ,,,The Calgary Herald,,,0,,,,,,,,,,Fox News,The New York Times,,,,,,Not sure,Yes,,Yes,,Yes,,,Not sure,,,,,,,,,,,,,No,Yes,,,,,,Centrist,None/Impartial,,None/Impartial,,Centrist,,,Right-leaning,,,,,,,,,,,,,Right-leaning,Centrist,,,,,,"		In 3-6 months","		I don't foresee a time when I will be ready to do it again","		In 3-6 months","		I don't foresee a time when I will be ready to do it again","		In 3-6 months","		In more than 6 months","		In 1-3 months","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again",Middle class,Bachelor’s degree,"$100,000 to $150,000",Employed full-time,-99,Prefer not to say,-99,-99,Yes,Canada,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Financially stable,Married,Liberal Party led by Justin Trudeau ,
Female,1978,Ontario,CTV News,The CBC,,0,,The Globe and Mail ,,Toronto Star,,,,,,,,,,,,,CNN,,,,0,,,,Yes,Yes,,,,Yes,,Yes,,,,,,,,,,,,,Yes,,,,,,,,Centrist,Right-leaning,,,,Right-leaning,,Centrist,,,,,,,,,,,,,Centrist,,,,,,,,"		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		In more than 6 months","		In 3-6 months","		In 3-6 months","		In more than 6 months","		When a vaccine will be ready or the virus will have disappeared","		In 3-6 months",Middle class,Bachelor’s degree,"$150,000 or over",Employed full-time,-99,Education or Social Services,-99,-99,Yes,Another country,0,0,0,0,0,0,0,Chinese,0,0,0,0,0,0,0,-99,English,-99,Just getting by,Married,Liberal Party led by Justin Trudeau ,The Progressive Conservative Party led by Doug Ford
Female,1995,Ontario,,The CBC,0,,,The Globe and Mail ,,Toronto Star,,,,,,,,,,,,,,Fox News,,,,The Wall Street Journal,,,,Yes,,,,No,,No,,,,,,,,,,,,,,No,,,,Yes,,,,Centrist,,,,Centrist,,Centrist,,,,,,,,,,,,,,Right-leaning,,,,Centrist,,,"		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		In 3-6 months",Not applicable for me,"		In more than 6 months","		When a vaccine will be ready or the virus will have disappeared","		When a vaccine will be ready or the virus will have disappeared","		In more than 6 months",Upper middle class,"College, CEGEP or other non-university certificate or diploma","$75,000 to $100,000",Student,-99,,,,No,Canada,0,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,English,-99,Financially stable,Single,NDP led by Jagmeet Singh,The New Democratic Party led by Andrea Horwath
Female,1997,Ontario,,The CBC,0,,0,,The National Post,Toronto Star,,,,,,,,,,,,,,,,,The Economist,,The Huffington Post,,,No,,,,,No,No,,,,,,,,,,,,,,,,,No,,No,,,-99,,,,,-99,-99,,,,,,,,,,,,,,,,,-99,,Left-leaning,,Not applicable for me,Not applicable for me,"		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again","		I don't foresee a time when I will be ready to do it again",Not applicable for me,"		I don't foresee a time when I will be ready to do it again",Not applicable for me,Not applicable for me,"		When a vaccine will be ready or the virus will have disappeared",Middle class,Bachelor’s degree,don't know,Other,Unemployed,,,,No,Canada,0,0,0,0,0,0,0,0,0,Other East and Southeast Asia,0,0,0,0,0,-99,English,-99,Getting ahead with some savings,Single,Conservative Party led by Andrew Scheer,The Green Party led by Mike Schreiner
